LOCATION,CSA,emp_change,emp_2017,emp_2018,emp_2019,emp_2020,emp_2021
"Sioux City-Vermillion, IA-SD-NE CSA",512,-12.649164677804295,894,897,864,838,732
"Rochester-Batavia-Seneca Falls, NY CSA",464,-13.617058927623429,12941,12404,12023,11302,9763
"Rockford-Freeport-Rochelle, IL CSA",466,-29.386203150461704,2181,2205,2151,1841,1300
"Rome-Summerville, GA CSA",470,-28.431372549019606,347,349,303,306,219
"Sacramento-Roseville, CA CSA",472,-13.147168979951532,19765,19550,19608,18156,15769
"Saginaw-Midland-Bay City, MI CSA",474,-23.24068598462448,2154,2153,1780,1691,1298
"St. Louis-St. Charles-Farmington, MO-IL CSA",476,-4.99447106524143,28600,30678,28701,27130,25775
"Salt Lake City-Provo-Orem, UT CSA",482,-0.7788340396289085,48361,49317,50383,52386,51978
"San Jose-San Francisco-Oakland, CA CSA",488,2.978297342642204,299027,319473,343522,369540,380546
"Savannah-Hinesville-Statesboro, GA CSA",496,-13.417085427135678,2683,2080,2671,1990,1723
"Seattle-Tacoma, WA CSA",500,0.31263490648804465,124410,130752,135764,143618,144067
"South Bend-Elkhart-Mishawaka, IN-MI CSA",515,-7.776717557251908,4269,4482,4306,4192,3866
"Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA",518,-5.888586133817741,6149,6117,6692,6606,6217
"Springfield-Branson, MO CSA",520,-19.132653061224488,5364,5545,5993,5880,4755
"Springfield-Greenfield Town, MA CSA",521,-17.71731917717319,3783,3535,3169,3014,2480
"Springfield-Jacksonville-Lincoln, IL CSA",522,-15.503512880562061,2263,2265,2221,2135,1804
"State College-DuBois, PA CSA",524,-10.281124497991968,1315,1186,1187,1245,1117
"Steamboat Springs-Craig, CO CSA",525,-14.393939393939394,119,113,118,132,113
"Syracuse-Auburn, NY CSA",532,-20.887956650935152,4418,5702,5378,5721,4526
"Williamsport-Lock Haven, PA CSA",558,-22.857142857142858,698,693,675,630,486
"Youngstown-Warren, OH-PA CSA",566,-13.78238341968912,3005,2984,3121,2895,2496
"Tucson-Nogales, AZ CSA",536,-19.93560128797424,8206,9026,7599,7143,5719
"Tallahassee-Bainbridge, FL-GA CSA",533,-18.944281524926687,3694,3624,3505,3410,2764
"Toledo-Port Clinton, OH CSA",534,-5.83646344986998,3615,3575,3590,3461,3259
"Tulsa-Muskogee-Bartlesville, OK CSA",538,-9.467566554180728,13170,12310,11755,10668,9658
"Tyler-Jacksonville, TX CSA",540,-25.954567423876266,2138,2538,2361,2069,1532
"Victoria-Port Lavaca, TX CSA",544,9.448818897637794,436,480,510,381,417
"Virginia Beach-Norfolk, VA-NC CSA",545,-11.14517583408476,12577,12381,12223,11090,9854
"Visalia-Porterville-Hanford, CA CSA",546,-12.76747503566334,1379,1524,1590,1402,1223
"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",548,-5.849739194965143,134570,138144,137149,140143,131945
"Wausau-Stevens Point-Wisconsin Rapids, WI CSA",554,-9.10248249522597,2406,1841,1943,1571,1428
"Wichita-Arkansas City-Winfield, KS CSA",556,-0.13057671381936886,5500,5532,5317,4595,4589
